UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,delta_Temp,omega,power,power_kW,wear_x_torque,pct_tool_life,rpm_x_torque,torque_sq,log_torque
1,M14860,M,298.1,308.6,1551.0,42.8,0,0,0,0,0,0,0,10.5,162.42034019059233,6951.590560157351,6.951590560157351,0.0,0.0,66382.79999999999,1831.8399999999997,3.7796338173824005
2,L47181,L,298.2,308.7,1408.0,46.3,3,0,0,0,0,0,0,10.5,147.44541520848094,6826.722724152667,6.826722724152667,138.89999999999998,0.013636363636363636,65190.399999999994,2143.6899999999996,3.856510295497887
3,L47182,L,298.1,308.5,1498.0,49.4,5,0,0,0,0,0,0,10.399999999999977,156.87019316925034,7749.387542560967,7.749387542560966,247.0,0.022727272727272728,74001.2,2440.3599999999997,3.919991175077323
4,L47183,L,298.2,308.6,1433.0,39.5,7,0,0,0,0,0,0,10.400000000000034,150.06340908647243,5927.504658915661,5.927504658915661,276.5,0.031818181818181815,56603.5,1560.25,3.7013019741124933
5,L47184,L,298.2,308.7,1408.0,40.0,9,0,0,0,0,0,0,10.5,147.44541520848094,5897.816608339237,5.897816608339237,360.0,0.04090909090909091,56320.0,1600.0,3.713572066704308
6,M14865,M,298.1,308.6,1425.0,41.9,11,0,0,0,0,0,0,10.5,149.22565104551515,6252.554778807084,6.2525547788070845,460.9,0.05,59707.5,1755.61,3.758871825933971
7,L47186,L,298.1,308.6,1558.0,42.4,14,0,0,0,0,0,0,10.5,163.15337847642994,6917.703247400629,6.917703247400629,593.6,0.06363636363636363,66059.2,1797.76,3.770459441106359
8,L47187,L,298.1,308.6,1527.0,40.2,16,0,0,0,0,0,0,10.5,159.90706606772045,6428.264055922363,6.428264055922363,643.2,0.07272727272727272,61385.4,1616.0400000000002,3.7184382563554808
9,M14868,M,298.3,308.7,1667.0,28.6,18,0,0,0,0,0,0,10.399999999999977,174.56783178447282,4992.639989035923,4.992639989035923,514.8000000000001,0.08181818181818182,47676.200000000004,817.96,3.3877743613300146
10,M14869,M,298.5,309.0,1741.0,28.0,21,0,0,0,0,0,0,10.5,182.31709366332768,5104.878622573175,5.104878622573175,588.0,0.09545454545454546,48748.0,784.0,3.367295829986474
11,H29424,H,298.4,308.9,1782.0,23.9,24,0,0,0,0,0,0,10.5,186.61060362323371,4459.993426595285,4.459993426595285,573.5999999999999,0.10909090909090909,42589.799999999996,571.2099999999999,3.214867803470662
12,H29425,H,298.6,309.1,1423.0,44.3,29,0,0,0,0,0,0,10.5,149.01621153527586,6601.41817101272,6.60141817101272,1284.6999999999998,0.1318181818181818,63038.899999999994,1962.4899999999998,3.8133070324889884
13,M14872,M,298.6,309.1,1339.0,51.1,34,0,0,0,0,0,0,10.5,140.21975210522444,7165.22933257697,7.16522933257697,1737.4,0.15454545454545454,68422.90000000001,2611.21,3.9531649487593215
14,M14873,M,298.6,309.2,1742.0,30.0,37,0,0,0,0,0,0,10.599999999999966,182.42181341844733,5472.6544025534195,5.472654402553419,1110.0,0.16818181818181818,52260.0,900.0,3.4339872044851463
15,L47194,L,298.6,309.2,1895.5,19.6,40,0,0,0,0,0,0,10.599999999999966,198.49629582931507,3890.527398254576,3.890527398254576,784.0,0.18181818181818182,37151.8,384.1600000000001,3.0252910757955354
16,L47195,L,298.6,309.2,1542.0,48.4,42,0,0,0,0,0,0,10.599999999999966,161.47786239451537,7815.528539894543,7.815528539894544,2032.8,0.19090909090909092,74632.8,2342.56,3.899950424193877
17,M14876,M,298.6,309.2,1311.0,46.6,44,0,0,0,0,0,0,10.599999999999966,137.28759896187395,6397.602111623327,6.397602111623327,2050.4,0.2,61092.6,2171.56,3.8628327612373745
18,M14877,M,298.7,309.2,1410.0,45.6,47,0,0,0,0,0,0,10.5,147.6548547187203,6733.0613751736455,6.733061375173645,2143.2000000000003,0.21363636363636362,64296.0,2079.36,3.8416005411316
19,H29432,H,298.8,309.2,1306.0,54.5,50,0,0,0,0,0,0,10.399999999999977,136.76400018627567,7453.6380101520235,7.453638010152024,2725.0,0.22727272727272727,71177.0,2970.25,4.0163830207523885
